A1,A2,A3,A4,Clase
-2.74318829160037,0.2829485928124765,-0.016017809882264145,-0.0005346501258118613,1
-2.7690961714191404	,-0.20113387407349834,-0.22845087926529672,-0.0998580514438718,1
-2.946394984015638,-0.18443871708965773,-0.003952504440638939,-0.011049929708050719,1
-2.8017369752773877,-0.3565120156428534,-0.004483909080911843,0.0862360304404485,1
-2.78892253532765,0.2828642070600043,0.09895391766061828,0.06794800238957857,1
-2.3441188376718656,0.6923680185672667,0.21259821288044878,0.02868895149995645,1
-2.8806965262134874,-0.14433432412799108,0.23707066978565722,0.06630108704981506,1
-2.6843606080040576,0.12773922274806698,-0.021994294783645063,0.048594126727727144,1
-2.941572583510577,-0.6163389703053154,-0.03277211966699606,0.04002203426264564,1
-2.7275998248463487,-0.1367894539420577,-0.2172188727211244,0.055099009860384754,1
-2.5669842407307275,0.6119904611389877,-0.03950468048637795,0.010952223015005782,1
-2.671267168135025,-0.02755453306881524,0.08700094785785711,0.1662055560966567,1
-2.840432791533913,-0.25827096702889646,-0.23408551814471973,0.007913420124003551,1
-3.2797659801419914,-0.5537537498827808,0.008454647022943804,0.03707748542404633,1
-2.7070988488832124,1.1468334849962645,-0.07335030697243322,-0.17116123058259589,1
-2.4535031655005186,1.2793932560948618,0.36236604055106925,-0.0030291368088884787,1
-2.6874401382396176,0.7598237325224093,0.19081789183601872,-0.16393978167988407,1
-2.7082201141220503,0.27087077210382593,0.0413919101873565,-0.07357899865670249,1
-2.26061588615,0.842960052356486,-0.06333339711244867,-0.03620359855851276,1
-2.6504871922525934,0.46139842734976744,0.23642692950651994,0.07584477307347513,1
-2.3672261871743703,0.37087102042668896,-0.21820445902221902,0.006000001169708583,1
-2.606153213683446,0.3801900787295414,0.23064000322345535,-0.030955104935821078,1
-3.2777176064412137,0.07346026635895368,0.2842739213769773,0.014227761357676585,1
-2.362061181557942,0.05786228939701635,0.046153298404549514,-0.1427072047904147,1
-2.4137761927092107,-0.07814631853517216,0.10333618864117972,0.31067710598153714,1
-2.561067078498811,-0.16564681738702167,-0.2693357999332787,-0.038270807890935926,1
-2.5285939279054794,0.08671965284198029,0.09827022561670373,-0.04933738703909383,1
-2.620989523821979,0.3352995779877394,-0.062347810811354154,0.012895410132163578,1
